方法大类,实验类型,实验名称,协议,设置,模型,关键参数,最终步骤,旧类mIoU(%),新类mIoU(%),全部mIoU(%),对照基线,相对差值(百分点),可比性说明,验证状态,结论,证据编号
RHL静态归一化,归一化与gamma消融,RHL l2_sqrt早期重跑,15-5,sequential,DeepLabV3 ResNet101,norm=l2_sqrt；gamma=1；batch=32；buffer=8196,step1,77.7754,43.0802,69.5146,RHL norm none,+0.0540,batch与主对照不一致,不可归因,batch不对齐，不能据此主张有效,E024
RHL静态归一化,归一化与gamma消融,RHL不归一化基线,15-5,sequential,DeepLabV3 ResNet101,norm=none；gamma=1；batch=64；buffer=8196,step1,78.0085,42.1075,69.4606,RHL norm none,+0.0000,同谱系主对照,基线,保留原始幅值信息,E025
RHL静态归一化,归一化与gamma消融,RHL无仿射LayerNorm,15-5,sequential,DeepLabV3 ResNet101,norm=layernorm；gamma=1；batch=64；buffer=8196,step1,77.9574,42.0792,69.4150,RHL norm none,-0.0457,同谱系主对照,已验证无效,旧类和新类均无改善,E026
RHL静态归一化,归一化与gamma消融,RHL纯L2归一化,15-5,sequential,DeepLabV3 ResNet101,norm=l2；gamma=1；batch=64；buffer=8196,step1,77.9390,42.2873,69.4505,RHL norm none,-0.0101,同谱系主对照,已验证无明显收益,总体轻微负向,E027
RHL随机子空间集成,单成员训练,RHL子空间成员 seed1,15-5,sequential,DeepLabV3 ResNet101,random_seed=1；rhl_seed=1；batch=64；buffer=8196；gamma=1,step1,78.0085,42.1075,69.4606,RHL成员seed1,+0.0000,仅改变rhl_seed,完成的集成成员,成员差异小，作为集成输入,E028
RHL随机子空间集成,单成员训练,RHL子空间成员 seed2,15-5,sequential,DeepLabV3 ResNet101,random_seed=1；rhl_seed=2；batch=64；buffer=8196；gamma=1,step1,77.8998,42.3649,69.4391,RHL成员seed1,-0.0215,仅改变rhl_seed,完成的集成成员,成员差异小，作为集成输入,E029
RHL随机子空间集成,单成员训练,RHL子空间成员 seed3,15-5,sequential,DeepLabV3 ResNet101,random_seed=1；rhl_seed=3；batch=64；buffer=8196；gamma=1,step1,77.9544,42.4415,69.4989,RHL成员seed1,+0.0383,仅改变rhl_seed,完成的集成成员,成员差异小，作为集成输入,E030
RHL随机子空间集成,完整测试集融合评估,K2等权logit融合,15-5,sequential,DeepLabV3 ResNet101,成员seed2+seed3；logit；等权,step1,77.9567,42.4183,69.4952,RHL成员seed1,+0.0346,成员固定，仅改变融合规则,弱正向辅助；未超batch32强基线,未优于prob,E031
RHL随机子空间集成,完整测试集融合评估,K2等权概率融合,15-5,sequential,DeepLabV3 ResNet101,成员seed2+seed3；prob；等权,step1,77.9577,42.4256,69.4976,RHL成员seed1,+0.0370,成员固定，仅改变融合规则,弱正向辅助；未超batch32强基线,弱正向,E032
RHL随机子空间集成,完整测试集融合评估,K2等权概率融合CPU复核,15-5,sequential,DeepLabV3 ResNet101,成员seed2+seed3；prob；CPU,step1,77.9577,42.4256,69.4976,RHL成员seed1,+0.0370,成员固定，仅改变融合规则,弱正向辅助；未超batch32强基线,与GPU结果一致,E033
RHL随机子空间集成,完整测试集融合评估,K3加权logit融合,15-5,sequential,DeepLabV3 ResNet101,成员seed1/2/3；logit；权重0.2/0.4/0.4,step1,77.9837,42.3648,69.5030,RHL成员seed1,+0.0424,成员固定，仅改变融合规则,弱正向辅助；未超batch32强基线,未超过概率融合,E034
RHL随机子空间集成,完整测试集融合评估,K3加权概率融合A,15-5,sequential,DeepLabV3 ResNet101,成员seed1/2/3；prob；权重0.1/0.45/0.45,step1,77.9724,42.4030,69.5035,RHL成员seed1,+0.0428,成员固定，仅改变融合规则,弱正向辅助；未超batch32强基线,弱正向,E035
RHL随机子空间集成,完整测试集融合评估,K3加权概率融合B,15-5,sequential,DeepLabV3 ResNet101,成员seed1/2/3；prob；权重0.2/0.4/0.4,step1,77.9848,42.3737,69.5060,RHL成员seed1,+0.0454,成员固定，仅改变融合规则,弱正向辅助；未超batch32强基线,早期加权最好但未超强基线,E036
RHL随机子空间集成,完整测试集融合评估,K3等权logit融合,15-5,sequential,DeepLabV3 ResNet101,成员seed1/2/3；logit；等权,step1,77.9974,42.3163,69.5019,RHL成员seed1,+0.0413,成员固定，仅改变融合规则,弱正向辅助；未超batch32强基线,弱正向，附oracle诊断,E037
RHL随机子空间集成,完整测试集融合评估,K3等权概率融合,15-5,sequential,DeepLabV3 ResNet101,成员seed1/2/3；prob；等权,step1,77.9985,42.3254,69.5049,RHL成员seed1,+0.0443,成员固定，仅改变融合规则,弱正向辅助；未超batch32强基线,弱正向,E038
RHL随机子空间集成,完整测试集融合评估,old/new分组概率融合,15-5,sequential,DeepLabV3 ResNet101,旧类权重偏seed1；新类偏seed2/3,step1,78.0029,42.3043,69.5033,RHL成员seed1,+0.0426,成员固定，仅改变融合规则,弱正向辅助；未超batch32强基线,分组静态权重收益很小,E039
RHL随机子空间集成,完整测试集融合评估,手工class-wise概率融合,15-5,sequential,DeepLabV3 ResNet101,class-wise；基于test诊断权重,step1,78.0022,42.3893,69.5229,RHL成员seed1,+0.0623,成员固定，仅改变融合规则,弱正向辅助；未超batch32强基线,探索性结果，不能作正式方法结论,E040
RHL随机子空间集成,完整测试集融合评估,置信度门控概率融合,15-5,sequential,DeepLabV3 ResNet101,seed1主模型；门限0.10；权重2/4/4,step1,78.0191,42.2294,69.4977,RHL成员seed1,+0.0371,成员固定，仅改变融合规则,弱正向辅助；未超batch32强基线,门控未带来实质提升,E041
RHL随机子空间集成,完整测试集融合评估,验证集驱动class-wise完整评估 batch1,15-5,sequential,DeepLabV3 ResNet101,val_batch=1；val选权重；test冻结评估,step1,77.9804,42.5218,69.5379,RHL成员seed1,+0.0773,成员固定，仅改变融合规则,弱正向辅助；未超batch32强基线,评估batch变化不改变结论,E042
RHL随机子空间集成,完整测试集融合评估,验证集驱动class-wise完整评估 batch1,15-5,sequential,DeepLabV3 ResNet101,val_batch=1；val选权重；test冻结评估,step1,77.9804,42.5218,69.5379,RHL成员seed1,+0.0773,成员固定，仅改变融合规则,弱正向辅助；未超batch32强基线,评估batch变化不改变结论,E043
RHL随机子空间集成,完整测试集融合评估,验证集驱动class-wise完整评估 batch16,15-5,sequential,DeepLabV3 ResNet101,val_batch=16；val选权重；test冻结评估,step1,77.9811,42.5228,69.5386,RHL成员seed1,+0.0780,成员固定，仅改变融合规则,弱正向辅助；未超batch32强基线,评估batch变化不改变结论,E044
RHL随机子空间集成,完整测试集融合评估,验证集驱动class-wise完整评估 batch32,15-5,sequential,DeepLabV3 ResNet101,val_batch=32；val选权重；test冻结评估,step1,77.9803,42.5236,69.5382,RHL成员seed1,+0.0776,成员固定，仅改变融合规则,弱正向辅助；未超batch32强基线,评估batch变化不改变结论,E045
RHL随机子空间集成,完整测试集融合评估,验证集驱动class-wise测试,15-5,sequential,DeepLabV3 ResNet101,val选权重；test冻结评估,step1,77.9804,42.5218,69.5379,RHL成员seed1,+0.0773,成员固定，仅改变融合规则,弱正向辅助；未超batch32强基线,正式弱正向辅助结果,E046
BOA-RHL,RHL初始化消融,BOA-0 高斯基线,15-5,sequential,DeepLabV3 ResNet101,init=gaussian；scale=legacy；batch=32；buffer=8196；gamma=1；seed=1,step1,77.7942,43.2099,69.5598,BOA-0高斯基线,+0.0000,同step0、batch、buffer、seed配对,基线,默认路径精确复现,E047
BOA-RHL,RHL初始化消融,BOA-1 正交初始化,15-5,sequential,DeepLabV3 ResNet101,init=orthogonal；scale=legacy；batch=32；buffer=8196；gamma=1；seed=1,step1,77.8225,43.4507,69.6387,BOA-0高斯基线,+0.0789,同step0、batch、buffer、seed配对,弱正向，需复验,all提升0.0789点，未达预设门槛,E048
BOA-RHL,RHL初始化消融,BOA-2 正交反向成对,15-5,sequential,DeepLabV3 ResNet101,init=orthogonal_antithetic；scale=legacy；batch=32；buffer=8196,step1,77.7067,38.3768,68.3424,BOA-0高斯基线,-1.2174,同step0、batch、buffer、seed配对,已验证无效，已止损,独立方向减半导致新类显著退化,E049
BOA-RHL,RHL初始化消融,BOA-3 正交反向成对Kaiming,15-5,sequential,DeepLabV3 ResNet101,init=orthogonal_antithetic；scale=kaiming；batch=32；buffer=8196,step1,77.6573,37.7973,68.1668,BOA-0高斯基线,-1.3930,同step0、batch、buffer、seed配对,已验证无效，已止损,尺度调整未挽救反向成对分支,E050
DeepLabV3+升级,架构与特征源对照,V3+ ASPP上采样特征,15-5,sequential,DeepLabV3+ ResNet101,feature=aspp_up；batch=32→16；buffer=8196,step1,77.9276,46.1287,70.3565,DeepLabV3 batch32强基线,+0.7966,架构对照；step0模型不同,已验证有效并采纳,当前V3+最佳配置,E051
DeepLabV3+升级,架构与特征源对照,V3+ ASPP特征,15-5,sequential,DeepLabV3+ ResNet101,feature=aspp；batch=32→16；buffer=8196,step1,77.7115,45.0984,69.9464,DeepLabV3 batch32强基线,+0.3866,架构对照；step0模型不同,已验证有效,高层语义特征显著改善新类,E052
DeepLabV3+升级,架构与特征源对照,V3+ buffer8200敏感性,15-5,sequential,DeepLabV3+ ResNet101,feature=decoder；batch=32→16；buffer=8200,step1,78.1346,39.3059,68.8897,DeepLabV3 batch32强基线,-0.6702,架构对照；step0模型不同,完成的敏感性实验,buffer变化未修复feature失配,E053
DeepLabV3+升级,架构与特征源对照,V3+ buffer8216敏感性,15-5,sequential,DeepLabV3+ ResNet101,feature=decoder；batch=32→16；buffer=8216,step1,78.1784,40.2370,69.1447,DeepLabV3 batch32强基线,-0.4151,架构对照；step0模型不同,完成的敏感性实验,buffer变化未修复feature失配,E054
DeepLabV3+升级,架构与特征源对照,V3+ decoder特征,15-5,sequential,DeepLabV3+ ResNet101,feature=decoder；batch=32→16；buffer=8196,step1,78.1453,39.5933,68.9663,DeepLabV3 batch32强基线,-0.5936,架构对照；step0模型不同,已验证无效并完成升级,低层融合特征不适合AIR,E055
DeepLabV3+升级,架构与特征源对照,V3+ decoder降采样特征,15-5,sequential,DeepLabV3+ ResNet101,feature=decoder_stride8；batch=32→16；buffer=8196,step1,77.5002,40.1131,68.5985,DeepLabV3 batch32强基线,-0.9614,架构对照；step0模型不同,已验证无效并完成升级,改变分辨率未解决语义不足,E056
DeepLabV3+升级,架构与特征源对照,V3+ step1 batch32敏感性,15-5,sequential,DeepLabV3+ ResNet101,feature=decoder；batch=32→32；buffer=8196,step1,78.1453,39.5933,68.9663,DeepLabV3 batch32强基线,-0.5936,架构对照；step0模型不同,完成的敏感性实验,batch变化未修复feature失配,E057
DeepLabV3+升级,架构与特征源对照,V3+ 类别采样上限4096,15-5,sequential,DeepLabV3+ ResNet101,feature=aspp_up；class_cap=4096；batch=32→16,step1,69.4642,45.5214,63.7635,DeepLabV3 batch32强基线,-5.7963,架构对照；step0模型不同,已验证无效,显存下降但旧类严重退化,E058
DeepLabV3+升级,架构与特征源对照,V3+ 类别采样上限8192,15-5,sequential,DeepLabV3+ ResNet101,feature=aspp_up；class_cap=8192；batch=32→16,step1,71.0924,47.0660,65.3718,DeepLabV3 batch32强基线,-4.1880,架构对照；step0模型不同,已验证无效,新类提高但旧类和总体明显退化,E059
DeepLabV3+升级,架构与特征源对照,V3+主线黄金重放,15-5,sequential,DeepLabV3+ ResNet101,feature=auto→aspp_up；batch=32→16；buffer=8196；gamma=1；seed=1,step1,77.9276,46.1287,70.3565,DeepLabV3 batch32强基线,+0.7966,架构对照；step0模型不同,已验证有效并采纳,主线融合后精确复现最佳结果,E060
DeepLabV3+升级,架构与特征源对照,V3+早期基线,15-5,sequential,DeepLabV3+ ResNet101,feature=decoder；batch=32→16；buffer=8196,step1,78.1453,39.5933,68.9663,DeepLabV3 batch32强基线,-0.5936,架构对照；step0模型不同,已解释的负结果,默认decoder导致新类塑性不足,E061
伪标签与阈值,多步增量链,15-1 overlap 伪标签关闭 seed1,15-1,overlap,DeepLabV3 ResNet101,strategy=off；confidence=0.7；q=0.7；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1,step5,78.9526,40.3870,69.7703,,,基线,基线,同协议无伪标签对照,E062
伪标签与阈值,多步增量链,15-1 overlap 固定阈值0.6 seed1,15-1,overlap,DeepLabV3 ResNet101,strategy=fixed；confidence=0.6；q=0.7；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=98.54%,step5,79.6171,40.9558,70.4120,15-1 overlap off,+0.6417,seed1为严格同谱系；seed2/3的off仅作参考,已验证有效（伪标签整体）,稳定强基线，固定阈值机制保留,E063
伪标签与阈值,多步增量链,15-1 overlap 固定阈值0.7 seed1,15-1,overlap,DeepLabV3 ResNet101,strategy=fixed；confidence=0.7；q=0.7；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=61.41%,step5,79.4150,40.5465,70.1606,15-1 overlap off,+0.3903,seed1为严格同谱系；seed2/3的off仅作参考,有效但非最优,用于固定阈值敏感性与最优区间判断,E064
伪标签与阈值,机制判别,15-5 disjoint matched-global固定阈值 seed1,15-5,disjoint,DeepLabV3 ResNet101,strategy=fixed；confidence=0.029296875；q=0.0；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=100.00%,step1,77.8822,42.6237,69.4873,同seed artifact_class,+0.0001,同teacher、seed和总体分位点配对,机制判别完成,类别阈值相对全局阈值的机制增益未达门槛,E065
伪标签与阈值,机制判别,15-5 disjoint matched-global固定阈值 seed2,15-5,disjoint,DeepLabV3 ResNet101,strategy=fixed；confidence=0.048828125；q=0.0；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=2；接收率=100.00%,step1,77.9783,42.0257,69.4182,同seed artifact_class,+0.0001,同teacher、seed和总体分位点配对,机制判别完成,类别阈值相对全局阈值的机制增益未达门槛,E066
伪标签与阈值,机制判别,15-5 disjoint matched-global固定阈值 seed3,15-5,disjoint,DeepLabV3 ResNet101,strategy=fixed；confidence=0.048828125；q=0.0；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=3；接收率=100.00%,step1,77.8567,41.8591,69.2858,同seed artifact_class,+0.0000,同teacher、seed和总体分位点配对,机制判别完成,类别阈值相对全局阈值的机制增益未达门槛,E067
伪标签与阈值,机制判别,15-5 overlap matched-global固定阈值 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=fixed；confidence=0.447265625；q=0.01；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=99.00%,step1,79.7124,42.2965,70.8038,同seed artifact_class,-0.0043,同teacher、seed和总体分位点配对,机制判别完成,类别阈值相对全局阈值的机制增益未达门槛,E068
伪标签与阈值,机制判别,15-5 overlap matched-global固定阈值 seed2,15-5,overlap,DeepLabV3 ResNet101,strategy=fixed；confidence=0.419921875；q=0.01；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=2；接收率=99.29%,step1,79.6727,42.4060,70.7997,同seed artifact_class,-0.0020,同teacher、seed和总体分位点配对,机制判别完成,类别阈值相对全局阈值的机制增益未达门槛,E069
伪标签与阈值,机制判别,15-5 overlap matched-global固定阈值 seed3,15-5,overlap,DeepLabV3 ResNet101,strategy=fixed；confidence=0.443359375；q=0.01；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=3；接收率=99.12%,step1,79.6662,40.7480,70.3999,同seed artifact_class,-0.0058,同teacher、seed和总体分位点配对,机制判别完成,类别阈值相对全局阈值的机制增益未达门槛,E070
伪标签与阈值,阈值策略与消融,15-5 disjoint artifact_class q=0.0 min_conf=0.0 seed1,15-5,disjoint,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.0；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=99.99%,step1,77.8822,42.6233,69.4872,disjoint fixed0.6 seed1,+0.0233,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E071
伪标签与阈值,阈值策略与消融,15-5 disjoint artifact_class q=0.0 min_conf=0.0 seed2,15-5,disjoint,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.0；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=2；接收率=100.00%,step1,77.9782,42.0257,69.4181,disjoint fixed0.6 seed2,+0.0339,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E072
伪标签与阈值,阈值策略与消融,15-5 disjoint artifact_class q=0.0 min_conf=0.0 seed3,15-5,disjoint,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.0；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=3；接收率=100.00%,step1,77.8566,41.8591,69.2858,disjoint fixed0.6 seed3,+0.0417,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E073
伪标签与阈值,阈值策略与消融,15-5 disjoint artifact_class q=0.005 min_conf=0.0 seed1,15-5,disjoint,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.005；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=99.48%,step1,77.8820,42.6152,69.4852,disjoint fixed0.6 seed1,+0.0212,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E074
伪标签与阈值,阈值策略与消融,15-5 disjoint artifact_class q=0.005 min_conf=0.6 seed1,15-5,disjoint,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.005；min_conf=0.6；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=90.69%,step1,77.8582,42.6021,69.4639,disjoint fixed0.6 seed1,+0.0000,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E075
伪标签与阈值,阈值策略与消融,15-5 disjoint artifact_class q=0.01 min_conf=0.0 seed1,15-5,disjoint,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.01；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=98.94%,step1,77.8810,42.6129,69.4838,disjoint fixed0.6 seed1,+0.0199,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E076
伪标签与阈值,阈值策略与消融,15-5 disjoint artifact_class q=0.015 min_conf=0.0 seed1,15-5,disjoint,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.015；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=98.40%,step1,77.8801,42.6105,69.4826,disjoint fixed0.6 seed1,+0.0186,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E077
伪标签与阈值,阈值策略与消融,15-5 disjoint 伪标签关闭 seed1,15-5,disjoint,DeepLabV3 ResNet101,strategy=off；confidence=0.7；q=0.7；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1,step1,77.0884,42.8810,68.9438,,,基线,基线,同协议无伪标签对照,E078
伪标签与阈值,阈值策略与消融,15-5 disjoint 固定阈值0.6 seed1,15-5,disjoint,DeepLabV3 ResNet101,strategy=fixed；confidence=0.6；q=0.7；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=90.69%,step1,77.8582,42.6021,69.4639,15-5 disjoint off,+0.5201,seed1为严格同谱系；seed2/3的off仅作参考,已验证有效（伪标签整体）,稳定强基线，固定阈值机制保留,E079
伪标签与阈值,阈值策略与消融,15-5 disjoint 固定阈值0.6 seed2,15-5,disjoint,DeepLabV3 ResNet101,strategy=fixed；confidence=0.6；q=0.7；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=2；接收率=90.31%,step1,77.9620,41.9354,69.3842,15-5 disjoint off,+0.4404,seed1为严格同谱系；seed2/3的off仅作参考,已验证有效（伪标签整体）,稳定强基线，固定阈值机制保留,E080
伪标签与阈值,阈值策略与消融,15-5 disjoint 固定阈值0.6 seed3,15-5,disjoint,DeepLabV3 ResNet101,strategy=fixed；confidence=0.6；q=0.7；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=3；接收率=90.92%,step1,77.8167,41.8117,69.2441,15-5 disjoint off,+0.3003,seed1为严格同谱系；seed2/3的off仅作参考,已验证有效（伪标签整体）,稳定强基线，固定阈值机制保留,E081
伪标签与阈值,阈值策略与消融,15-5 overlap artifact_class q=0.0 min_conf=0.0 seed1,15-5,overlap,DeepLabV3 ResNet101,strategy=artifact_class；confidence=0.7；q=0.0；min_conf=0.0；batch=32；buffer=8196；gamma=1.0；seed=1；接收率=99.98%,step1,79.7154,42.2948,70.8057,overlap fixed0.6 seed1,+0.0326,同step0和seed配对,弱正向但机制未成立，触发重构,相对fixed0.6极弱；matched-global对照后不支持类别阈值主张,E082
